,Player,Agents,Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
29,"Bati
H2O",,294,187.1,0.75,67%,129.8,0.55,0.4,0.07,0.09,23%,8%,May-59,21,163,218,119,21,26
30,"Zik
[A]",(+1),347,186.5,1.02,72%,121.5,0.65,0.39,0.07,0.1,31%,13%,Mar-23,22,225,221,137,24,36
31,"Ale
KOVA",,300,178.5,0.83,69%,117.2,0.63,0.37,0.09,0.12,21%,21%,Aug-38,24,188,227,110,26,36
32,"Radski
LDN",(+1),258,178.4,0.88,65%,117.4,0.61,0.18,0.09,0.08,29%,15%,May-33,20,158,180,47,24,21
33,"ozzy
XL",,277,174.7,0.96,76%,117.2,0.62,0.33,0.06,0.08,25%,36%,15/42,25,171,179,91,16,22
34,"Phardon
H2O",(+3),294,171.9,0.77,61%,115.1,0.6,0.16,0.06,0.11,25%,14%,May-37,26,176,230,48,19,31
35,"Jaf
H2O",(+3),294,170.1,0.74,63%,108.6,0.58,0.31,0.06,0.08,29%,17%,Jun-35,19,170,230,90,19,23
36,"f3n1x
H2O",(+1),294,168.1,0.74,63%,119.4,0.6,0.23,0.07,0.12,23%,15%,Jun-40,24,176,239,69,22,35
37,"JARLO
who",(+2),344,166.6,0.75,61%,114.5,0.57,0.25,0.09,0.09,20%,9%,Mar-34,25,197,264,86,32,31
38,"mishu
who",,344,164.1,0.72,69%,116.4,0.53,0.32,0.06,0.08,27%,13%,Jun-47,20,184,255,111,21,26
39,"Br0die
TEN",(+1),282,158.3,0.77,70%,102.4,0.54,0.24,0.07,0.11,27%,10%,Feb-20,18,151,196,69,20,30
40,"John9
LDN",(+1),258,138.2,0.67,60%,89.2,0.49,0.31,0.08,0.1,21%,16%,Mar-19,16,126,187,80,20,25
41,"Zehradieux
LDN",,17,121,0.47,53%,70,0.41,0.18,0.06,0,6%,,0/1,7,7,15,3,1,0
0,"hype
[A]",(+1),347,252.7,1.5,72%,160,0.89,0.2,0.11,0.08,24%,19%,Jul-36,26,310,206,71,39,29
1,"elllement
XL",,277,245.8,1.39,75%,161.5,0.88,0.15,0.17,0.13,28%,28%,Jul-25,23,245,176,42,48,36
2,"Kicks
LDN",(+1),258,241.3,1.05,70%,156.3,0.83,0.34,0.09,0.1,24%,8%,Mar-36,24,213,202,87,24,27
3,"siJk
H2O",,190,235,0.97,62%,144.6,0.81,0.14,0.19,0.16,17%,7%,Jan-15,28,153,157,27,37,31
4,"paTiTek
XL",,277,229.8,1.09,80%,144.7,0.78,0.35,0.13,0.1,22%,5%,Jan-19,26,216,199,97,36,28
5,"Fearoth
[A]",,347,228.9,1.28,78%,151.9,0.73,0.39,0.05,0.02,20%,17%,Jul-42,22,255,199,135,19,6
