Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28
Arsenal,17,19,20,16,13,10,11,12,10,6,5,5,5,5,7,6,5,5,4,4,4,4,5,4,5,5,6,4
Chelsea,2,2,4,2,1,3,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Manchester United ,1,6,3,1,3,4,4,6,7,5,6,8,5,7,6,5,4,4,5,5,6,5,4,5,4,4,4,5
Tottenham,3,19,18,4,7,8,9,2,9,9,10,10,11,9,8,8,8,7,7,7,7,6,8,8,9,6,7,7
